03,11
05,25
07,37
07g,51
09,49
09a,73
09g,101
09s,73
11,97
11a,61
11g,199
11s,143
11x,-1
13,121
13g,393
15g,779
15,-1
17,167
17s,461
17g,1549
19,189
19g,3087
21a,391
21g,6161
23,459
23a,459
23b,133
25,259
25a,535
27,595
29,1401
29a,-1
29b,297
29c,1499
31,327
31a,331
31ax,-1
31b,687
31c,661
37,1775
39,841
51,1275
51ext,1337
53,3529
67,4981
69,1957
73,819
93,1049
267,25675
